DIA;MES;ANO;DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
28;10;2023;BLR;BOG;39500;7810;32317649
28;10;2023;BLR;BOG;66500;22300;92355711
28;10;2023;BLR;BOG;2650;500;2070715
28;10;2023;BLR;BOG;85600;16432;68052102
28;10;2023;BLR;BOG;7950;2764;11444842
28;10;2023;BLR;BOG;10000;1900;7868717
28;10;2023;BLR;BOG;1100;3464;15195390
28;10;2023;BLR;BOG;110;274;1001945
28;10;2023;BLR;BOG;10850;4496;18617799
28;10;2023;BLR;BOG;1750;332;1377025
28;10;2023;BLR;BOG;6400;1010;5019413
28;10;2023;BLR;BOG;1600;598;2478232
28;10;2023;BLR;BOG;400;51;207914
28;10;2023;BLR;BOG;10700;1613;6549713
28;10;2023;BLR;BOG;11025;3633;15438984
28;10;2023;BLR;BOG;7850;1013;4310744
28;10;2023;BLR;BOG;25350;2892;10290799
28;10;2023;BLR;BOG;10000;1632;6877199
28;10;2023;BLR;BOG;500;0;210
28;10;2023;BLR;BOG;246;446;1882740
28;10;2023;BLR;BOG;2;27;114822
28;10;2023;BOL;BOG;164;647;2731068
28;10;2023;BOL;BOG;683;2658;11023160
28;10;2023;BOL;BOG;160;1048;5269168
28;10;2023;BOL;BOG;250;1988;8391410
28;10;2023;BOL;BOG;860;2944;10430677
28;10;2023;BOL;BOG;180;675;2849911
28;10;2023;BOL;BOG;500;1855;7831175
28;10;2023;BOL;BOG;180;708;2990506
28;10;2023;BOL;BOG;253;963;4064944
28;10;2023;BOL;BOG;340;2556;10791662
28;10;2023;BOL;BOG;180;1089;5441430
28;10;2023;BOL;BOG;700;4515;20232736
28;10;2023;BOL;BOG;160;662;2796710
28;10;2023;BOL;BOG;250;1678;7082556
28;10;2023;BOL;BOG;180;1433;6109411
28;10;2023;BOL;BOG;643;15367;65295785
28;10;2023;BOL;BOG;170;5910;25110865
28;10;2023;BOL;BOG;50;371;1576379
28;10;2023;BOL;BOG;172;26660;109855729
28;10;2023;BOL;BOG;89;408;1682408
28;10;2023;BOL;BOG;99;734;3025565
28;10;2023;BOL;BOG;32;249;1024551
28;10;2023;BOL;BOG;10;64;264956
28;10;2023;BOL;BOG;102;373;1536909
28;10;2023;BOL;BOG;198;757;3118732
28;10;2023;BOL;BOG;66;151;622790
28;10;2023;BOL;BOG;13;29;100528
28;10;2023;BOL;BOG;132;553;2278291
28;10;2023;BOL;BOG;10;98;402173
28;10;2023;BOL;BOG;45;284;1170050
28;10;2023;BOL;BOG;15;49;200880
28;10;2023;BOL;BOG;250;1168;4814038
28;10;2023;BOL;BOG;160;769;3247632
28;10;2023;BOL;BOG;1666;4560;19254208
28;10;2023;BOL;BOG;210;530;2239397
28;10;2023;BOL;BOG;19;502;2118391
28;10;2023;BOL;BOG;18;359;1514633
28;10;2023;BOL;BOG;149;901;3821111
28;10;2023;BOL;BOG;10;66;278238
28;10;2023;BOL;BOG;38;178;756550
28;10;2023;BOL;BOG;65;420;1779893
28;10;2023;BOL;BOG;39;138;586826
28;10;2023;BOL;BOG;32;140;591410
28;10;2023;BOL;BOG;90;371;1574097
28;10;2023;BOL;BOG;239;752;3189226
28;10;2023;BOL;BOG;33;114;481915
28;10;2023;BOL;BOG;245;710;2983260
28;10;2023;BOL;BOG;101;577;2447130
28;10;2023;BOL;BOG;319;790;3347103
28;10;2023;BOL;BOG;48;182;769775
28;10;2023;BOL;BOG;266;879;3724593
28;10;2023;BOL;BOG;11;103;435499
28;10;2023;BOL;BOG;74;303;1082930
28;10;2023;BOL;BOG;59;594;2518386
28;10;2023;BOL;BOG;4;20;83251
28;10;2023;BOL;BOG;38;163;691017
28;10;2023;BOL;BOG;20;37;155990
28;10;2023;BOL;BOG;85400;10943;53333185
28;10;2023;BOL;BOG;58410;11026;42963397
28;10;2023;BOL;BOG;320;713;3069075
28;10;2023;BOL;BOG;1535;3484;15022028
28;10;2023;BOL;BOG;150;266;1152376
28;10;2023;BOL;BOG;298;621;2718571
28;10;2023;BOL;BOG;903;2445;10301429
28;10;2023;BOL;BOG;651;1018;5174077
28;10;2023;BOL;BOG;28;63;272468
28;10;2023;BOL;BOG;110;210;911534
28;10;2023;BOL;BOG;165;310;1335168
28;10;2023;BOL;BOG;14;25;103495
28;10;2023;BOL;BOG;175;403;1732180
28;10;2023;BOL;BOG;5;11;47389
28;10;2023;BOL;BOG;180;2439;10536194
28;10;2023;BOL;BOG;110;1198;5109614
28;10;2023;BOL;BOG;397;37376;163274174
28;10;2023;BOL;BOG;1109;142869;580010829
28;10;2023;BOL;BOG;135;15572;64167860
28;10;2023;BOL;BOG;1730;91065;368271431
28;10;2023;BOL;BOG;280;22356;92101446
28;10;2023;BOL;BOG;100;3903;15821825
28;10;2023;BOL;BOG;44;2191;8882802
28;10;2023;BOL;BOG;853;20666;83896974
28;10;2023;BOL;BOG;147;5342;22677210
28;10;2023;BOL;BOG;71;3407;14449279
28;10;2023;BOL;BOG;77;20232;82016483
28;10;2023;BOL;BOG;20;1110;4692777
28;10;2023;BOL;BOG;2132;48107;203198105
28;10;2023;BOL;BOG;2817;99775;419625841
28;10;2023;BOL;BOG;1649;79751;334247953
28;10;2023;BOL;BOG;2210;83295;350297250
28;10;2023;BOL;BOG;970;6528;27619453
28;10;2023;BOL;BOG;220;27000;117703799
28;10;2023;BOL;BOG;77;175;767666
28;10;2023;BOL;BOG;5;8;34510
28;10;2023;BOL;BOG;95;495;2006409
28;10;2023;BOL;BOG;99;635;2579485
28;10;2023;BOL;BOG;285;1382;5601567
28;10;2023;BOL;BOG;5;14;58374
28;10;2023;BOL;BOG;270;1106;4547109
28;10;2023;BOL;BOG;98;425;1724105
28;10;2023;BOL;BOG;2177;5506;22321016
28;10;2023;BOL;BOG;363;1137;4609287
28;10;2023;BOL;BOG;176;707;2864184
28;10;2023;BOL;BOG;64;239;968605
28;10;2023;BOL;BOG;1867;4380;17779018
28;10;2023;BOL;BOG;510;2108;8546745
28;10;2023;BOL;BOG;96;240;975790
28;10;2023;BOL;BOG;28;268;1085110
28;10;2023;BOL;BOG;16;72;295984
