DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
BOL;BUN;2246;14444;58644847
BOL;BUN;8;28;111735
BOL;BUN;715;2501;10152689
BOL;BUN;765;8480;34429057
BOL;BUN;75;3777;15336486
BOL;BUN;2;57;230332
BOL;BUN;463;4864;19749057
BOL;BUN;320;901;3660185
BOL;BUN;616;10884;44191728
BOL;BUN;719;3089;12543468
BOL;BUN;25;290;1178337
BOL;BUN;11;257;1044108
BOL;BUN;168;960;3897703
BOL;BUN;79;324;1317113
BOL;BUN;20;158;642194
BRA;BOG;24;27688;109582577
BRA;BOG;14450;3672;14851441
BRA;BOG;53850;22942;90930241
BRA;BOG;16800;1848;7324677
BRA;BOG;21100;7066;28501429
BRA;BOG;15450;3625;14703939
BRA;BOG;704;70;287052
BRA;BOG;2880;288;1162711
BRA;BOG;4548;17522;69682190
BRA;BOG;850;85;349910
BRA;BOG;92;136649;554376753
BRA;BOG;672;3563;14667410
BRA;BOG;74;24090;95759918
BRA;BOG;418;12374;49559614
BRA;BOG;3810;15048;61097949
BRA;BOG;4835;15536;63078247
BRA;BOG;6150;2091;8489774
BRA;BOG;2460;1667;6628065
BRA;BOG;350;1554;6159388
BRA;BOG;450;2550;10107104
BRA;BOG;592;881;3558702
BRA;BOG;0;20;79932
BRA;BOG;5;250;995168
BRA;BOG;40;2167;8624758
BRA;BOG;26;6751;26873065
BRA;BOG;6489;24188;96872389
BRA;BOG;6645;35511;142222004
BRA;BOG;941;22639;93141766
BRA;BOG;66;2507;10122245
BRA;BOG;624;2321;9200556
BRA;BOG;1;227952;932855217
BRA;BOG;96425;34662;138879497
BRA;BOG;1114;4548;18031394
BRA;BOG;14;56;221960
BRA;BOG;62;174;687679
BRA;BOG;3351;15537;61624451
BRA;BOG;1036;6153;24462339
BRA;BOG;132;406;1608417
BRA;BOG;496;5;20166
BRA;BOG;2126;8508;34192271
BRA;BOG;844;1361;5493001
BRA;BOG;72;254;1008332
BRA;BOG;288;1408;5580707
BRA;BOG;582;2760;10937868
BRA;BOG;21;80;318354
BRA;BOG;494;318760;1276653086
BRA;BOG;5759;4782059;19181778398
BRA;BOG;157834;1652;6682623
BRA;BOG;169439;1676;6899117
BRA;BOG;110006;1138;4543814
BGR;BOG;669;3947;15935394
BGR;BOG;55;336;1356496
CAN;BOG;10250;1650;6677732
CAN;BOG;283;8895;35976685
CAN;BOG;227;5890;23822730
CAN;BOG;483;4087;16595254
CAN;BOG;2448;20167;81733451
CAN;BOG;16680;7815;31532065
CAN;BOG;2440;1316;5387202
CAN;BOG;10400;2288;9068648
CAN;BOG;2000;440;1743971
CAN;BOG;18;192;761005
CAN;BOG;12712;3110;12639540
CAN;BOG;1527;1356;5379795
CAN;BOG;2230;429;1755758
CAN;BOG;7161;4267;17323975
CAN;BOG;5992;1268;5194316
CAN;BOG;256;1463;5861445
CAN;BOG;338;3712;14764018
CAN;BOG;851;3298;13111437
CAN;BOG;1565;7201;28624862
CAN;BOG;3932;23872;96243090
CAN;BOG;470;14438;59424320
CAN;BOG;310;8250;33920728
CAN;BOG;185;4216;17329382
CAN;BOG;140;70;284210
CAN;BOG;648;65;257586
CAN;BOG;37;836;3373113
CAN;BOG;449;15003;60691861
CAN;BOG;421;11836;47845460
CAN;BOG;231;5129;20748074
CAN;BOG;795;6104;24640989
CAN;BOG;1670;13077;52875325
CAN;BOG;8000;1124;4537802
CAN;BOG;1250;370;1465291
CAN;BOG;17825;2994;12151847
CAN;BOG;14640;1290;5244869
CAN;BOG;91;625;2540712
CAN;BOG;11780;2179;8886006
CAN;BOG;70135;9807;40199239
CAN;BOG;110117;34955;142484663
CAN;BOG;67726;9463;38956732
CAN;BOG;126744;17541;72040497
CAN;BOG;15636;10338;41823078
CAN;BOG;36300;5445;22414833
CAN;BOG;38262;23042;92812703
CAN;BOG;30162;9324;38020089
CAN;BOG;5370;821;3329936
CAN;BOG;131975;17410;70629297
CAN;BOG;1640;3717;15112541
CAN;BOG;7134;17645;71740865
CAN;BOG;16076;33333;135526116
CAN;BOG;422;2240;8908122
CAN;BOG;1197;7881;31327684
CAN;BOG;838;5841;23218501
CAN;BOG;11199;3592;14220418
CAN;BOG;1580;269;1089694
CAN;BOG;6085;1037;4208872
CAN;BOG;3200;986;3908080
CAN;BOG;205;1368;5579167
CAN;BOG;492;2519;10271234
CAN;BOG;78;480;1947654
CAN;BOG;180;1310;5320421
CAN;BOG;40;271;1098677
CAN;BOG;214;804;3288188
CAN;BOG;1883;6709;27479854
CAN;BOG;6800;2178;8659018
CAN;BOG;12950;1778;7220977
CAN;BOG;60342;8352;33835323
CAN;BOG;1890;2608;10372394
CAN;BOG;58827;30247;121013883
CAN;BOG;210474;57052;233365381
CAN;BOG;5255;860;3506162
CAN;BOG;14872;2640;10791259
CAN;BOG;12830;2693;10973296
CAN;BOG;1131;547;2169716
CAN;BOG;5134;1654;6611212
CAN;BOG;596;1476;5884871
CAN;BOG;39559;181910;733310945
CAN;BOG;11;123;490357
CAN;BOG;6216;30002;120119030
CAN;BOG;825;6411;25723663
CAN;BOG;3683;19893;79855707
CAN;BOG;27;130;534936
CAN;BOG;20457;35352;142414683
CAN;BOG;469;2866;11420752
CAN;BOG;2462;17877;72016730
CAN;BOG;4098;19387;77880672
CAN;BOG;29;178;706572
CAN;BOG;593;1737;6972585
CAN;BOG;115;860;3418577
CAN;BOG;6363;10496;42376324
CAN;BOG;33;149;591692
CAN;BOG;630;4550;18132244
CAN;BOG;1730;2854;11521494
CAN;BOG;457;4221;17072524
CAN;BOG;1327;30756;124393961
CAN;BOG;246;60406;247199240
CAN;BOG;20841;7854;31388506
CAN;BOG;1480;414;1675734
CAN;BOG;250;2;9975
CAN;BOG;7412;8735;35264855
CAN;BOG;147257;37826;152873529
CAN;BOG;102176;14743;59650078
CAN;BOG;24876;27213;109739204
CAN;BOG;17650;5665;22943124
CAN;BOG;133036;33792;135121641
CAN;BOG;366950;50700;205100855
CAN;BOG;553900;82131;331981562
CAN;BOG;22049;29495;119855414
CAN;BOG;18725;5102;20481815
CAN;BOG;9550;1762;7009180
CAN;BOG;1604;409;1650403
CAN;BOG;1600;321;1296745
CAN;BOG;2330;934;3769524
CAN;BOG;2320;2150;8611416
CAN;BOG;24386;2944;11970784
CAN;BOG;826;4610;18611446
CAN;BOG;48978;14267;58321975
CAN;BOG;40670;6498;26488129
CAN;BOG;156256;17687;72007984
CAN;BOG;10389;62017;255274142
CAN;BOG;973;3481;13842704
CAN;BOG;426473;119882;483203249
CAN;BOG;4050;572;2277090
CAN;BOG;17353;2574;10235166
CAN;BOG;5673;1484;5934791
CAN;BOG;16200;1555;6278638
CAN;BOG;37098;6477;26041207
CAN;BOG;178050;64491;258410830
CAN;BOG;376;1995;8116526
CAN;BOG;22105;68870;279621312
CAN;BOG;984;344;1395068
CAN;BOG;410;54;220547
CAN;BOG;15135;34316;139521650
CAN;BOG;1459;730;2968027
CAN;BOG;620;114;462917
CAN;BOG;226;2323;9408078
CAN;BOG;8185;27927;114934023
CAN;BOG;4;1;4117
CAN;BOG;68;182;736343
CAN;BOG;65;321;1294727
CAN;BOG;28;53;213002
CAN;BOG;124;508;2052265
CAN;BOG;28;94;381030
CAN;BOG;2499;6707;27075697
CAN;BOG;32580;5864;23733872
CAN;BOG;7100;710;2873448
CAN;BOG;4700;562;2269259
CAN;BOG;71650;7223;29230657
CAN;BOG;9475;2813;11481129
CAN;BOG;9984;2612;10673976
CAN;BOG;9600;1728;6993406
CAN;BOG;17095;4103;16651936
CAN;BOG;167860;16786;67934788
CAN;BOG;80588;8152;32993660
CAN;BOG;1746;3151;12789450
CAN;BOG;2380;5593;22705251
CAN;BOG;650;2282;9262669
CAN;BOG;1928;2537;10269137
CAN;BOG;19716;23564;95644868
CAN;BOG;26373;6398;25982426
CAN;BOG;254;3054;12443210
CAN;BOG;336580;47191;190027096
CAN;BOG;204332;25676;102753272
CAN;BOG;5640;1286;5098736
CAN;BOG;9300;2829;11212147
CAN;BOG;412660;61041;246534027
CAN;BOG;2836;3306;13262270
CAN;BOG;135415;21987;89316995
CAN;BOG;2752;965;3940645
CAN;BOG;34353;17190;69136974
CAN;BOG;1003;7523;30621161
CAN;BOG;273;2;7146
CAN;BOG;3125;628;2533770
CAN;BOG;1340;318;1281064
CAN;BOG;333622;48653;196777424
CAN;BOG;254800;35371;143057150
CAN;BOG;2772;2952;11939394
CAN;BOG;6740;2040;8396673
CAN;BOG;260;2148;8691573
CAN;BOG;2500;325;1314466
CAN;BOG;1555;2022;8207593
CAN;BOG;1307;2321;9422146
CAN;BOG;7805;15334;62256716
CAN;BOG;233;538;2185295
CAN;BOG;585;2053;8336909
CAN;BOG;609;1184;4805797
CAN;BOG;35490;4969;20173261
CAN;BOG;6550;1376;5584736
CAN;BOG;2640;1109;4501894
CAN;BOG;12723;7845;31852242
CAN;BOG;1228;1509;6049090
CAN;BOG;243;7076;28706907
CAN;BOG;26600;4040;16288289
CAN;BOG;2950;826;3273909
CAN;BOG;40200;5365;21700414
CAN;BOG;4150;13446;54382481
CAN;BOG;99323;18722;75892194
CAN;BOG;17250;1738;7048933
CAN;BOG;42350;5388;21605596
CAN;BOG;18020;2615;10761006
CAN;BOG;1450;362;1470641
CAN;BOG;5750;6014;24708350
CAN;BOG;4392;35233;140987421
CAN;BOG;1296;8814;35560033
CAN;BOG;981;5106;20459978
CAN;BOG;43289;297876;1204616235
CAN;BOG;66;217;864687
CAN;BOG;10;29;117699
CAN;BOG;10443;51402;207327000
CAN;BOG;1270;4936;19659239
CAN;BOG;14950;79911;324019600
CAN;BOG;3;21;85185
CAN;BOG;1758;6912;27646127
CAN;BOG;2423;13872;55467273
CAN;BOG;10384;67235;272323020
CAN;BOG;178;639;2558594
CAN;BOG;2631;15118;61640288
CAN;BOG;181;2027;8273053
CAN;BOG;9311;38036;154184190
CAN;BOG;1101;5682;22826541
CAN;BOG;32044;173242;693539738
CAN;BOG;2594;14025;56525908
CAN;BOG;2578;16141;65017598
CAN;BOG;732;3198;12941365
CAN;BOG;19814;71125;288570788
CAN;BOG;9800;980;3966168
CAN;BOG;30700;3070;12424628
CAN;BOG;26375;2489;10040036
CAN;BOG;1445;423;1729469
CAN;BOG;2016;1952;7859055
CAN;BOG;4354;1002;4030972
CAN;BOG;1284;1261;5086216
CAN;BOG;422559;105284;427276526
CAN;BOG;21910;2221;8988631
CAN;BOG;10951;16619;67475619
CAN;BOG;43075;4496;18197830
CAN;BOG;14045;37603;152673547
CAN;BOG;21360;37093;150597273
CAN;BOG;7080;21314;86533539
CAN;BOG;6415;35282;143252242
CAN;BOG;1650;3925;15935683
CAN;BOG;278240;41503;168498337
CAN;BOG;634;1011;4090009
CAN;BOG;207603;700507;2844133390
